band_digits,family,sample_index,probable_prime_reps,exponent_vector,factor_digit_lengths,d_value,n_digits,n_bits,n_log10,leading16,trailing16,z_sci,neg_log10_z,status
13,smooth_4321,3,64,"4,3,2,1","1,2,2,6",120,13,40,12.000009211121510257136044,1000021209616,1000021209616,9.987494285433539276765534e-709,708.000543456169105171026612,ok
14,probable_prime,0,64,"1","14",2,14,44,13.000000000001606889583039,10000000000037,10000000000037,1,0.000000000000000000000000,ok
14,probable_prime,1,64,"1","14",2,14,44,13.000000000001606889583039,10000000000037,10000000000037,1,0.000000000000000000000000,ok
14,probable_prime,2,64,"1","14",2,14,44,13.000000000001606889583039,10000000000037,10000000000037,1,0.000000000000000000000000,ok
14,probable_prime,3,64,"1","14",2,14,44,13.000000000001606889583039,10000000000037,10000000000037,1,0.000000000000000000000000,ok
14,semiprime_balanced,0,64,"1,1","7,7",4,14,44,13.000000043425667657238179,10000000999913,10000000999913,9.999999000087099982590760e-14,13.000000043425667657238179,ok
14,semiprime_balanced,1,64,"1,1","7,7",4,14,44,13.000000043425667657238179,10000000999913,10000000999913,9.999999000087099982590760e-14,13.000000043425667657238179,ok
14,semiprime_balanced,2,64,"1,1","7,7",4,14,44,13.000000043425667657238179,10000000999913,10000000999913,9.999999000087099982590760e-14,13.000000043425667657238179,ok
14,semiprime_balanced,3,64,"1,1","7,7",4,14,44,13.000000043425667657238179,10000000999913,10000000999913,9.999999000087099982590760e-14,13.000000043425667657238179,ok
14,prime_square,0,64,"2","7",3,14,44,13.000001466700712828594551,10000033772089,10000033772089,3.162272320345775504595888e-7,6.500000733350356414297276,ok
14,prime_square,1,64,"2","7",3,14,44,13.000001466700712828594551,10000033772089,10000033772089,3.162272320345775504595888e-7,6.500000733350356414297276,ok
14,prime_square,2,64,"2","7",3,14,44,13.000001466700712828594551,10000033772089,10000033772089,3.162272320345775504595888e-7,6.500000733350356414297276,ok
14,prime_square,3,64,"2","7",3,14,44,13.000001466700712828594551,10000033772089,10000033772089,3.162272320345775504595888e-7,6.500000733350356414297276,ok
14,prime_cube,0,64,"3","5",4,14,44,13.000764965170262951456297,10017629495693,10017629495693,9.982401529522947857839555e-14,13.000764965170262951456297,ok
14,prime_cube,1,64,"3","5",4,14,44,13.000764965170262951456297,10017629495693,10017629495693,9.982401529522947857839555e-14,13.000764965170262951456297,ok
14,prime_cube,2,64,"3","5",4,14,44,13.000764965170262951456297,10017629495693,10017629495693,9.982401529522947857839555e-14,13.000764965170262951456297,ok
14,prime_cube,3,64,"3","5",4,14,44,13.000764965170262951456297,10017629495693,10017629495693,9.982401529522947857839555e-14,13.000764965170262951456297,ok
14,squarefree_3,0,64,"1,1,1","5,5,5",8,14,44,13.000081801698571871489094,10001883731117,10001883731117,9.994350935046510279603270e-40,39.000245405095715614467282,ok
14,squarefree_3,1,64,"1,1,1","5,5,5",8,14,44,13.000081801698571871489094,10001883731117,10001883731117,9.994350935046510279603270e-40,39.000245405095715614467282,ok
14,squarefree_3,2,64,"1,1,1","5,5,5",8,14,44,13.000081801698571871489094,10001883731117,10001883731117,9.994350935046510279603270e-40,39.000245405095715614467282,ok
14,squarefree_3,3,64,"1,1,1","5,5,5",8,14,44,13.000081801698571871489094,10001883731117,10001883731117,9.994350935046510279603270e-40,39.000245405095715614467282,ok
14,squarefree_6,0,64,"1,1,1,1,1,1","3,3,3,3,3,3",64,14,44,13.002151292238195721449354,10049658224681,10049658224681,8.576497011413277357679783e-404,403.066690059384067364929976,ok
