band_digits,family,sample_index,probable_prime_reps,exponent_vector,factor_digit_lengths,d_value,n_digits,n_bits,n_log10,leading16,trailing16,z_sci,neg_log10_z,status
9,semiprime_balanced,2,64,"1,1","5,5",4,9,27,8.000694589034722622839382,100160063,100160063,9.984019279221100330178506e-9,8.000694589034722622839382,ok
9,semiprime_balanced,3,64,"1,1","5,5",4,9,27,8.000694589034722622839382,100160063,100160063,9.984019279221100330178506e-9,8.000694589034722622839382,ok
9,prime_square,0,64,"2","5",3,9,27,8.000607799569624983621035,100140049,100140049,9.993004896572399320475667e-5,4.000303899784812491810518,ok
9,prime_square,1,64,"2","5",3,9,27,8.000607799569624983621035,100140049,100140049,9.993004896572399320475667e-5,4.000303899784812491810518,ok
9,prime_square,2,64,"2","5",3,9,27,8.000607799569624983621035,100140049,100140049,9.993004896572399320475667e-5,4.000303899784812491810518,ok
9,prime_square,3,64,"2","5",3,9,27,8.000607799569624983621035,100140049,100140049,9.993004896572399320475667e-5,4.000303899784812491810518,ok
9,prime_cube,0,64,"3","3",4,9,27,8.007950641698336489264153,101847563,101847563,9.818595266732106294973401e-9,8.007950641698336489264153,ok
9,prime_cube,1,64,"3","3",4,9,27,8.007950641698336489264153,101847563,101847563,9.818595266732106294973401e-9,8.007950641698336489264153,ok
9,prime_cube,2,64,"3","3",4,9,27,8.007950641698336489264153,101847563,101847563,9.818595266732106294973401e-9,8.007950641698336489264153,ok
9,prime_cube,3,64,"3","3",4,9,27,8.007950641698336489264153,101847563,101847563,9.818595266732106294973401e-9,8.007950641698336489264153,ok
9,squarefree_3,0,64,"1,1,1","3,3,4",8,9,27,8.000017540799890003116278,100004039,100004039,9.998788397874537368041979e-25,24.000052622399670009348834,ok
9,squarefree_3,1,64,"1,1,1","3,3,4",8,9,27,8.000017540799890003116278,100004039,100004039,9.998788397874537368041979e-25,24.000052622399670009348834,ok
9,squarefree_3,2,64,"1,1,1","3,3,4",8,9,27,8.000017540799890003116278,100004039,100004039,9.998788397874537368041979e-25,24.000052622399670009348834,ok
9,squarefree_3,3,64,"1,1,1","3,3,4",8,9,27,8.000017540799890003116278,100004039,100004039,9.998788397874537368041979e-25,24.000052622399670009348834,ok
9,squarefree_6,0,64,"1,1,1,1,1,1","2,2,2,2,2,2",64,9,27,8.013038130080002430685347,103047659,103047659,3.942920018057332657179846e-249,248.404182032480075351245770,ok
9,squarefree_6,1,64,"1,1,1,1,1,1","2,2,2,2,2,2",64,9,27,8.013038130080002430685347,103047659,103047659,3.942920018057332657179846e-249,248.404182032480075351245770,ok
9,squarefree_6,2,64,"1,1,1,1,1,1","2,2,2,2,2,2",64,9,27,8.013038130080002430685347,103047659,103047659,3.942920018057332657179846e-249,248.404182032480075351245770,ok
9,squarefree_6,3,64,"1,1,1,1,1,1","2,2,2,2,2,2",64,9,27,8.013038130080002430685347,103047659,103047659,3.942920018057332657179846e-249,248.404182032480075351245770,ok
9,smooth_4321,0,64,"4,3,2,1","1,1,2,4",120,9,27,8.004051390910756883307327,100937232,100937232,5.767238825975290131143802e-473,472.239032063734656115132290,ok
9,smooth_4321,1,64,"4,3,2,1","1,1,2,4",120,9,27,8.004051390910756883307327,100937232,100937232,5.767238825975290131143802e-473,472.239032063734656115132290,ok
9,smooth_4321,2,64,"4,3,2,1","1,1,2,4",120,9,27,8.004051390910756883307327,100937232,100937232,5.767238825975290131143802e-473,472.239032063734656115132290,ok
9,smooth_4321,3,64,"4,3,2,1","1,1,2,4",120,9,27,8.004051390910756883307327,100937232,100937232,5.767238825975290131143802e-473,472.239032063734656115132290,ok
10,probable_prime,0,64,"1","10",2,10,30,9.000000003040061362682548,1000000007,1000000007,1,0.000000000000000000000000,ok
10,probable_prime,1,64,"1","10",2,10,30,9.000000003040061362682548,1000000007,1000000007,1,0.000000000000000000000000,ok
10,probable_prime,2,64,"1","10",2,10,30,9.000000003040061362682548,1000000007,1000000007,1,0.000000000000000000000000,ok
10,probable_prime,3,64,"1","10",2,10,30,9.000000003040061362682548,1000000007,1000000007,1,0.000000000000000000000000,ok
10,semiprime_balanced,0,64,"1,1","5,5",4,10,30,9.000134491900185057494176,1000309727,1000309727,9.996903689011113654801039e-10,9.000134491900185057494176,ok
10,semiprime_balanced,1,64,"1,1","5,5",4,10,30,9.000134491900185057494176,1000309727,1000309727,9.996903689011113654801039e-10,9.000134491900185057494176,ok
10,semiprime_balanced,2,64,"1,1","5,5",4,10,30,9.000134491900185057494176,1000309727,1000309727,9.996903689011113654801039e-10,9.000134491900185057494176,ok
